Ensembl,Symbol,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000171596,NMUR1,49,43,7,0
ENSG00000187514,PTMA,874,755,2119,1017
ENSG00000156973,PDE6D,0,0,8,16
ENSG00000144524,COPS7B,71,65,33,80
ENSG00000163273,NPPC,0,0,0,0
ENSG00000144535,DIS3L2,138,141,83,36
ENSG00000163283,ALPP,4,4,2,1
ENSG00000163286,ALPPL2,0,0,0,0
ENSG00000163295,ALPI,0,0,0,2
ENSG00000171551,ECEL1,0,0,0,9
ENSG00000237412,PRSS56,0,0,0,0
ENSG00000135902,CHRND,0,0,0,0
ENSG00000196811,CHRNG,0,0,0,0
ENSG00000221944,TIGD1,12,17,7,10
ENSG00000135930,EIF4E2,119,107,196,157
ENSG00000115468,EFHD1,85,86,15,110
ENSG00000204120,GIGYF2,227,207,131,143
ENSG00000115474,KCNJ13,13,14,0,1
ENSG00000182600,C2orf82,25,32,15,28
ENSG00000066248,NGEF,63,60,79,40
ENSG00000168918,INPP5D,30,48,2,26
ENSG00000085978,ATG16L1,0,2,73,31
ENSG00000130561,SAG,76,93,14,23
ENSG00000077044,DGKD,120,118,30,14
ENSG00000085982,USP40,202,189,26,102
ENSG00000242366,UGT1A8,1920,1790,645,975
ENSG00000242515,UGT1A10,2159,2008,755,1107
ENSG00000241119,UGT1A9,1958,1820,645,988
ENSG00000244122,UGT1A7,1922,1792,645,983
ENSG00000167165,UGT1A6,2529,2369,865,1278
ENSG00000240224,UGT1A5,1937,1810,649,975
ENSG00000244474,UGT1A4,2180,2023,783,1047
ENSG00000243135,UGT1A3,2226,2089,784,1149
ENSG00000241635,UGT1A1,2653,2487,996,1245
ENSG00000185038,MROH2A,6,12,0,0
ENSG00000123485,HJURP,7,9,1,0
ENSG00000144481,TRPM8,25,22,778,214
ENSG00000072080,SPP2,201,188,181,307
ENSG00000188042,ARL4C,14,15,8,12
ENSG00000130147,SH3BP4,37,38,102,86
ENSG00000157985,AGAP1,5,4,5,25
ENSG00000168505,GBX2,0,0,0,0
ENSG00000182177,ASB18,10,6,1,0
ENSG00000132321,IQCA1,0,0,0,0
ENSG00000144476,ACKR3,0,0,3,1
ENSG00000198612,COPS8,1,0,233,92
ENSG00000163359,COL6A3,93,95,194,88
ENSG00000115648,MLPH,418,432,174,54
ENSG00000124839,RAB17,1103,935,264,454
ENSG00000124831,LRRFIP1,1014,1019,610,594
ENSG00000177483,RBM44,0,4,0,0
ENSG00000132329,RAMP1,258,243,135,730
ENSG00000184182,UBE2F,26,31,293,138
ENSG00000258984,UBE2F-SCLY,146,154,282,168
ENSG00000132330,SCLY,441,394,157,132
ENSG00000144488,ESPNL,0,0,1,0
ENSG00000168427,KLHL30,10,18,1,2
ENSG00000178752,ERFE,14,11,1,0
ENSG00000132323,ILKAP,75,51,40,39
ENSG00000144485,HES6,5,6,23,16
ENSG00000132326,PER2,79,70,35,67
ENSG00000204104,TRAF3IP1,117,110,35,32
ENSG00000065802,ASB1,36,25,44,31
ENSG00000233608,TWIST2,0,0,0,3
ENSG00000068024,HDAC4,42,43,3,21
ENSG00000130414,NDUFA10,394,367,411,254
ENSG00000172428,COPS9,51,35,98,121
ENSG00000063660,GPC1,100,59,76,87
ENSG00000144504,ANKMY1,30,32,7,44
ENSG00000188542,DUSP28,85,85,7,21
ENSG00000142327,RNPEPL1,136,147,110,125
ENSG00000142330,CAPN10,3,6,2,6
ENSG00000178623,GPR35,2,6,0,2
ENSG00000185176,AQP12B,0,0,0,0
ENSG00000184945,AQP12A,0,0,0,0
ENSG00000130294,KIF1A,0,0,0,0
ENSG00000172482,AGXT,11581,10160,5115,5843
ENSG00000172478,C2orf54,2,0,1,0
ENSG00000226321,CROCC2,0,0,1,3
ENSG00000162804,SNED1,75,54,24,41
ENSG00000122085,MTERF4,41,46,102,43
ENSG00000115687,PASK,8,9,25,14
ENSG00000115685,PPP1R7,31,20,202,61
ENSG00000146205,ANO7,0,2,0,19
ENSG00000115677,HDLBP,615,516,1054,650
ENSG00000168385,2-Sep,152,141,528,359
ENSG00000006607,FARP2,120,123,121,87
ENSG00000115694,STK25,479,359,133,175
ENSG00000176720,BOK,644,564,340,370
ENSG00000176946,THAP4,41,43,192,138
ENSG00000168397,ATG4B,228,197,172,96
ENSG00000168393,DTYMK,18,17,108,46
ENSG00000168395,ING5,78,84,53,44
ENSG00000180902,D2HGDH,90,81,52,55
ENSG00000154252,GAL3ST2,0,0,0,0
ENSG00000204099,NEU4,168,147,165,132
ENSG00000188389,PDCD1,0,0,0,0
ENSG00000134121,CHL1,5,1,0,1
ENSG00000134115,CNTN6,0,0,0,0
ENSG00000144619,CNTN4,10,15,22,6
ENSG00000091181,IL5RA,0,0,0,0
ENSG00000072756,TRNT1,222,224,92,112
ENSG00000113851,CRBN,125,126,112,183
ENSG00000144455,SUMF1,56,32,144,142
ENSG00000175928,LRRN1,0,0,0,0
ENSG00000170364,SETMAR,44,35,1,11
ENSG00000150995,ITPR1,14,15,14,12
ENSG00000134107,BHLHE40,272,240,173,90
ENSG00000134108,ARL8B,182,175,326,247
ENSG00000134109,EDEM1,49,43,195,153
ENSG00000196277,GRM7,11,6,2,9
ENSG00000071282,LMCD1,55,49,69,12
ENSG00000125046,SSUH2,0,0,9,10
ENSG00000182533,CAV3,0,0,0,0
ENSG00000180914,OXTR,0,0,0,0
ENSG00000070950,RAD18,30,31,0,8
ENSG00000196220,SRGAP3,38,36,44,17
ENSG00000134077,THUMPD3,40,36,90,54
ENSG00000168137,SETD5,852,801,202,186
ENSG00000156959,LHFPL4,0,0,0,0
ENSG00000163719,MTMR14,76,79,35,12
ENSG00000144550,CPNE9,0,0,0,0
ENSG00000156983,BRPF1,10,9,39,16
ENSG00000114026,OGG1,273,236,126,68
ENSG00000134072,CAMK1,44,43,126,50
ENSG00000171148,TADA3,191,168,214,73
ENSG00000241553,ARPC4,241,209,404,211
ENSG00000250151,ARPC4-TTLL3,370,308,123,59
ENSG00000214021,TTLL3,421,336,26,50
ENSG00000156990,RPUSD3,87,101,143,124
ENSG00000187288,CIDEC,0,0,79,0
ENSG00000171135,JAGN1,58,85,178,156
ENSG00000163701,IL17RE,7,11,0,3
ENSG00000163702,IL17RC,129,88,93,107
ENSG00000163703,CRELD1,622,529,122,44
ENSG00000163704,PRRT3,27,39,8,6
ENSG00000125037,EMC3,227,225,398,197
ENSG00000144554,FANCD2,47,44,59,14
ENSG00000163705,FANCD2OS,11,8,10,1
ENSG00000254999,BRK1,219,226,416,309
ENSG00000134086,VHL,72,76,75,90
ENSG00000134070,IRAK2,11,14,63,29
ENSG00000157014,TATDN2,22,30,52,51
ENSG00000272410,AC022384.1,11,18,0,9
ENSG00000157017,GHRL,0,0,14,3
ENSG00000157020,SEC13,217,220,399,210
ENSG00000157087,ATP2B2,156,147,86,168
ENSG00000132164,SLC6A11,15,16,0,1
ENSG00000157103,SLC6A1,120,121,115,243
ENSG00000196639,HRH1,6,9,7,5
ENSG00000197548,ATG7,129,103,130,118
ENSG00000144560,VGLL4,46,35,137,88
ENSG00000144559,TAMM41,18,25,82,29
ENSG00000157152,SYN2,0,0,0,0
ENSG00000157150,TIMP4,0,0,0,1
ENSG00000132170,PPARG,22,28,125,65
ENSG00000154743,TSEN2,21,22,3,30
ENSG00000225526,MKRN2OS,14,18,6,3
ENSG00000075975,MKRN2,30,29,76,44
ENSG00000132155,RAF1,372,341,185,163
ENSG00000088726,TMEM40,8,12,0,1
ENSG00000144712,CAND2,0,4,1,6
ENSG00000144713,RPL32,548,440,1814,758
ENSG00000144711,IQSEC1,180,175,119,167
ENSG00000132182,NUP210,286,270,13,54
ENSG00000163517,HDAC11,22,19,20,16
ENSG00000163520,FBLN2,0,0,23,1
ENSG00000154764,WNT7A,0,2,0,0
ENSG00000163528,CHCHD4,3,1,62,34
ENSG00000170876,TMEM43,68,63,86,71
ENSG00000268279,AC090004.1,66,58,20,40
ENSG00000154767,XPC,334,277,15,68
ENSG00000170860,LSM3,54,76,409,237
ENSG00000131389,SLC6A6,1,1,16,9
ENSG00000144596,GRIP2,1,2,12,3
ENSG00000154781,CCDC174,41,34,62,48
ENSG00000154783,FGD5,24,16,2,13
ENSG00000177463,NR2C2,98,76,43,62
ENSG00000131368,MRPS25,131,136,123,140
ENSG00000131381,RBSN,50,42,39,59
ENSG00000131375,CAPN7,63,78,34,66
ENSG00000131370,SH3BP5,87,99,89,63
ENSG00000206562,METTL6,23,19,134,41
ENSG00000144597,EAF1,28,27,83,67
ENSG00000206561,COLQ,1,0,0,6
ENSG00000131373,HACL1,49,52,238,110
ENSG00000169814,BTD,89,88,182,238
ENSG00000206560,ANKRD28,72,76,36,142
ENSG00000131386,GALNT15,15,7,0,4
ENSG00000154813,DPH3,65,62,109,65
ENSG00000154814,OXNAD1,26,21,0,57
ENSG00000131378,RFTN1,8,14,164,48
ENSG00000154822,PLCL2,15,15,4,34
ENSG00000131374,TBC1D5,40,34,13,45
ENSG00000182568,SATB1,60,59,89,71
ENSG00000183960,KCNH8,0,0,0,0
ENSG00000163576,EFHB,15,9,0,3
ENSG00000144566,RAB5A,152,129,242,155
ENSG00000183977,PP2D1,0,0,6,4
ENSG00000114166,KAT2B,150,164,161,142
ENSG00000129810,SGO1,11,8,4,16
ENSG00000151789,ZNF385D,43,33,4,5
ENSG00000182247,UBE2E2,37,37,72,83
ENSG00000170142,UBE2E1,12,18,105,58
ENSG00000197885,NKIRAS1,32,31,15,79
ENSG00000174748,RPL15,1164,1155,4461,1362
ENSG00000174738,NR1D2,93,77,62,86
ENSG00000151090,THRB,77,72,99,96
ENSG00000077092,RARB,48,31,41,18
ENSG00000077097,TOP2B,56,57,198,81
ENSG00000151092,NGLY1,58,56,206,71
ENSG00000151093,OXSM,3,4,47,57
ENSG00000179796,LRRC3B,0,0,0,0
ENSG00000163491,NEK10,34,16,0,4
ENSG00000033867,SLC4A7,32,33,43,32
ENSG00000163508,EOMES,0,0,0,0
ENSG00000187118,CMC1,205,214,189,119
ENSG00000163512,AZI2,222,219,218,79
ENSG00000206559,ZCWPW2,3,5,0,0
ENSG00000144642,RBMS3,297,269,78,52
ENSG00000163513,TGFBR2,227,209,161,158
ENSG00000144644,GADL1,11,6,12,17
ENSG00000163527,STT3B,133,108,544,231
ENSG00000144645,OSBPL10,16,20,29,39
ENSG00000197385,ZNF860,0,0,1,0
ENSG00000152642,GPD1L,1,5,34,9
ENSG00000170293,CMTM8,86,88,216,97
ENSG00000153551,CMTM7,125,131,195,276
ENSG00000091317,CMTM6,184,190,788,650
ENSG00000144635,DYNC1LI1,36,24,114,49
ENSG00000182973,CNOT10,51,55,104,40
ENSG00000206557,TRIM71,0,0,0,0
ENSG00000183813,CCR4,48,29,1,4
ENSG00000170266,GLB1,43,37,254,127
ENSG00000188167,TMPPE,0,0,0,2
ENSG00000170275,CRTAP,144,128,551,364
ENSG00000173705,SUSD5,8,5,0,3
ENSG00000153558,FBXL2,26,24,8,11
ENSG00000153560,UBP1,16,8,89,141
ENSG00000163539,CLASP2,51,36,51,38
ENSG00000170248,PDCD6IP,112,117,350,194
ENSG00000172995,ARPP21,0,0,3,2
ENSG00000144681,STAC,0,0,0,3
ENSG00000168016,TRANK1,132,137,32,102
ENSG00000178567,EPM2AIP1,122,110,50,74
ENSG00000076242,MLH1,10,11,130,92
ENSG00000093167,LRRFIP2,97,96,168,119
ENSG00000144674,GOLGA4,1058,969,897,461
ENSG00000144668,ITGA9,169,146,98,97
ENSG00000144677,CTDSPL,322,334,230,184
ENSG00000136059,VILL,1,3,0,0
ENSG00000187091,PLCD1,0,0,21,14
ENSG00000008226,DLEC1,1094,983,549,1187
ENSG00000060971,ACAA1,1893,1656,1053,1663
ENSG00000172936,MYD88,63,73,542,336
ENSG00000172939,OXSR1,93,73,72,78
ENSG00000172940,SLC22A13,18,20,0,0
ENSG00000144671,SLC22A14,0,0,0,0
ENSG00000093217,XYLB,556,581,84,217
ENSG00000114739,ACVR2B,41,42,14,22
ENSG00000157036,EXOG,18,28,51,32
ENSG00000183873,SCN5A,0,0,0,1
ENSG00000168356,SCN11A,14,18,2,4
ENSG00000114742,WDR48,81,82,95,66
ENSG00000114745,GORASP1,36,22,30,53
ENSG00000168026,TTC21A,46,51,3,5
ENSG00000144655,CSRNP1,83,69,142,23
ENSG00000168334,XIRP1,0,0,0,0
ENSG00000168329,CX3CR1,3,0,2,3
ENSG00000179934,CCR8,0,0,0,0
ENSG00000144659,SLC25A38,115,101,154,96
ENSG00000168028,RPSA,299,240,1923,968
ENSG00000168314,MOBP,27,28,14,7
ENSG00000170011,MYRIP,68,77,160,105
ENSG00000114784,EIF1B,120,101,244,158
ENSG00000168032,ENTPD3,10,9,0,3
ENSG00000188846,RPL14,529,496,1215,595
ENSG00000177873,ZNF619,32,19,42,11
ENSG00000177842,ZNF620,53,36,11,11
ENSG00000172888,ZNF621,76,56,6,25
ENSG00000168036,CTNNB1,378,345,588,499
ENSG00000168038,ULK4,1,0,15,5
ENSG00000182606,TRAK1,43,60,45,43
ENSG00000187094,CCK,0,3,0,6
ENSG00000157093,LYZL4,0,0,0,0
ENSG00000114812,VIPR1,84,81,78,160
ENSG00000093183,SEC22C,155,159,77,86
ENSG00000008324,SS18L2,8,17,103,61
ENSG00000114857,NKTR,1156,1063,345,298
ENSG00000114853,ZBTB47,6,6,0,19
ENSG00000244607,CCDC13,74,52,16,18
ENSG00000010282,HHATL,0,2,0,2
ENSG00000280571,AC099329.3,133,119,261,102
ENSG00000181061,HIGD1A,698,660,1905,878
ENSG00000144648,ACKR2,18,19,82,5
ENSG00000273291,AC092042.3,5,7,16,0
ENSG00000240747,KRBOX1,0,0,20,0
ENSG00000180432,CYP8B1,1052,925,1000,3842
ENSG00000182983,ZNF662,14,18,6,2
ENSG00000144649,FAM198A,20,16,26,19
ENSG00000144647,POMGNT2,34,29,16,34
ENSG00000163788,SNRK,138,132,180,85
ENSG00000160746,ANO10,16,16,56,22
ENSG00000011198,ABHD5,53,48,19,22
ENSG00000179152,TCAIM,88,92,122,106
ENSG00000185219,ZNF445,48,56,65,65
ENSG00000178917,ZNF852,0,0,1,0
ENSG00000196345,ZKSCAN7,26,27,14,0
ENSG00000144792,ZNF660,32,15,8,1
ENSG00000186448,ZNF197,21,25,16,37
ENSG00000169981,ZNF35,0,0,0,6
ENSG00000196653,ZNF502,1,0,33,9
ENSG00000186446,ZNF501,8,5,8,1
ENSG00000163807,KIAA1143,141,122,133,76
ENSG00000163808,KIF15,0,0,85,5
ENSG00000169964,TMEM42,49,53,16,109
ENSG00000163810,TGM4,0,0,0,0
ENSG00000163812,ZDHHC3,43,51,107,84
ENSG00000075914,EXOSC7,185,163,130,113
ENSG00000163815,CLEC3B,112,93,73,20
ENSG00000163814,CDCP1,19,13,6,5
ENSG00000249992,TMEM158,0,0,0,0
ENSG00000011376,LARS2,8,9,60,9
ENSG00000144791,LIMD1,187,160,35,216
ENSG00000211456,SACM1L,7,16,53,49
ENSG00000163817,SLC6A20,11,13,7,4
ENSG00000163818,LZTFL1,16,17,65,34
ENSG00000173585,CCR9,0,0,0,0
ENSG00000163820,FYCO1,42,59,33,88
ENSG00000172215,CXCR6,0,0,43,0
ENSG00000173578,XCR1,0,0,0,15
ENSG00000183625,CCR3,0,0,0,0
ENSG00000163823,CCR1,3,1,60,31
ENSG00000121807,CCR2,2,0,0,7
ENSG00000160791,CCR5,0,0,0,0
ENSG00000121797,CCRL2,0,0,0,0
ENSG00000012223,LTF,0,0,0,11
ENSG00000163825,RTP3,13,14,311,211
ENSG00000163827,LRRC2,95,94,93,60
ENSG00000241186,TDGF1,8,1,19,5
ENSG00000178038,ALS2CL,336,336,227,79
ENSG00000181585,TMIE,0,0,0,1
ENSG00000206549,PRSS50,0,0,0,0
ENSG00000188086,PRSS45,0,0,0,0
ENSG00000178055,PRSS42,0,0,0,2
ENSG00000160808,MYL3,0,0,6,5
ENSG00000160801,PTH1R,78,56,22,61
ENSG00000160799,CCDC12,124,111,103,114
ENSG00000160796,NBEAL2,3,0,5,18
ENSG00000181555,SETD2,310,303,150,118
ENSG00000088727,KIF9,16,21,6,0
ENSG00000114648,KLHL18,12,27,30,19
ENSG00000076201,PTPN23,54,58,162,49
ENSG00000114650,SCAP,198,176,179,147
ENSG00000163832,ELP6,19,26,32,56
ENSG00000114646,CSPG5,0,0,0,0
ENSG00000173473,SMARCC1,301,298,135,81
ENSG00000132153,DHX30,50,56,132,90
ENSG00000047849,MAP4,1087,937,867,357
ENSG00000164045,CDC25A,0,0,0,10
ENSG00000164047,CAMP,0,0,4,0
ENSG00000164048,ZNF589,6,8,20,5
ENSG00000172113,NME6,68,49,34,26
ENSG00000164049,FBXW12,7,7,2,5
ENSG00000164050,PLXNB1,557,488,166,231
ENSG00000164051,CCDC51,64,76,140,112
ENSG00000232112,TMA7,232,214,663,362
ENSG00000164053,ATRIP,31,25,32,4
ENSG00000213689,TREX1,50,37,28,44
ENSG00000164054,SHISA5,375,327,517,546
ENSG00000114268,PFKFB4,3,1,10,0
ENSG00000145040,UCN2,0,0,0,0
ENSG00000114270,COL7A1,22,22,0,1
ENSG00000010256,UQCRC1,737,678,1498,1098
ENSG00000225697,SLC26A6,92,68,51,22
ENSG00000008300,CELSR3,0,1,0,1
ENSG00000213672,NCKIPSD,127,118,12,24
ENSG00000068745,IP6K2,56,52,18,79
ENSG00000114302,PRKAR2A,230,301,163,317
ENSG00000178537,SLC25A20,213,194,385,256
ENSG00000221883,ARIH2OS,27,35,3,3
ENSG00000177479,ARIH2,152,136,77,116
ENSG00000178467,P4HTM,12,8,19,11
ENSG00000178252,WDR6,728,642,198,260
ENSG00000178149,DALRD3,735,623,127,196
ENSG00000178057,NDUFAF3,156,138,291,226
ENSG00000178035,IMPDH2,197,194,273,103
ENSG00000198218,QRICH1,47,50,50,48
ENSG00000172053,QARS,92,77,264,223
ENSG00000172046,USP19,44,53,37,30
ENSG00000172037,LAMB2,575,500,301,375
ENSG00000177352,CCDC71,11,14,11,3
ENSG00000185909,KLHDC8B,23,17,147,95
ENSG00000173421,CCDC36,53,48,4,5
ENSG00000188315,C3orf62,29,29,6,32
ENSG00000114316,USP4,135,158,62,69
ENSG00000233276,GPX1,709,605,999,834
ENSG00000067560,RHOA,919,814,1745,1189
ENSG00000145022,TCTA,72,78,102,104
ENSG00000145020,AMT,298,254,90,201
ENSG00000145029,NICN1,90,68,3,20
ENSG00000173402,DAG1,184,185,158,270
ENSG00000164061,BSN,33,36,0,2
ENSG00000164062,APEH,479,493,627,693
ENSG00000173531,MST1,2064,1883,1339,1468
ENSG00000164068,RNF123,133,146,184,78
ENSG00000176020,AMIGO3,0,0,0,0
ENSG00000173540,GMPPB,70,79,205,91
ENSG00000176095,IP6K1,28,27,115,50
ENSG00000187492,CDHR4,33,35,3,4
ENSG00000185614,FAM212A,0,0,9,3
ENSG00000182179,UBA7,288,198,70,74
ENSG00000183763,TRAIP,0,0,2,1
ENSG00000164076,CAMKV,0,0,0,0
ENSG00000164078,MST1R,0,0,35,1
ENSG00000164077,MON1A,105,98,37,61
ENSG00000004534,RBM6,543,473,55,177
ENSG00000003756,RBM5,191,215,144,175
ENSG00000001617,SEMA3F,39,41,8,12
ENSG00000114349,GNAT1,0,0,0,0
ENSG00000188338,SLC38A3,1691,1442,780,1190
ENSG00000114353,GNAI2,139,127,207,166
ENSG00000012171,SEMA3B,15,21,5,8
ENSG00000179564,LSMEM2,84,84,91,65
ENSG00000214706,IFRD2,183,201,370,138
ENSG00000186792,HYAL3,0,0,17,16
ENSG00000243477,NAT6,2,8,12,9
ENSG00000114378,HYAL1,219,200,454,639
ENSG00000068001,HYAL2,230,211,276,61
ENSG00000114383,TUSC2,96,122,134,92
ENSG00000068028,RASSF1,3,1,120,43
ENSG00000004838,ZMYND10,39,16,1,3
ENSG00000114388,NPRL2,109,124,58,59
ENSG00000114395,CYB561D2,43,57,50,51
ENSG00000272104,Z84492.1,0,0,2,2
ENSG00000126062,TMEM115,231,218,101,94
ENSG00000007402,CACNA2D2,15,17,0,3
ENSG00000088543,C3orf18,0,3,2,16
ENSG00000114735,HEMK1,235,256,110,106
ENSG00000114737,CISH,0,0,111,170
ENSG00000114738,MAPKAPK3,57,62,48,93
ENSG00000088538,DOCK3,0,0,0,0
ENSG00000145050,MANF,113,129,597,208
ENSG00000259956,RBM15B,12,15,47,59
ENSG00000145041,DCAF1,17,20,221,84
ENSG00000164080,RAD54L2,162,167,117,100
ENSG00000164081,TEX264,91,80,158,262
ENSG00000164082,GRM2,0,0,0,0
ENSG00000229972,IQCF3,0,0,0,0
ENSG00000173389,IQCF1,0,0,0,0
ENSG00000114767,RRP9,52,28,22,15
ENSG00000041880,PARP3,22,14,61,31
ENSG00000180929,GPR62,4,4,0,5
ENSG00000090097,PCBP4,96,84,33,24
ENSG00000114779,ABHD14B,405,374,238,313
ENSG00000248487,ABHD14A,153,115,63,63
ENSG00000114786,ABHD14A-ACY1,661,637,702,894
ENSG00000243989,ACY1,663,644,697,889
ENSG00000162244,RPL29,766,683,1900,1169
ENSG00000164086,DUSP7,31,32,31,12
ENSG00000164087,POC1A,31,33,0,10
ENSG00000023330,ALAS1,961,858,462,592
ENSG00000239732,TLR9,0,0,0,1
ENSG00000173366,AC097637.1,27,18,35,14
ENSG00000247596,TWF2,75,60,142,46
ENSG00000164088,PPM1M,0,0,1,24
ENSG00000164091,WDR82,76,77,201,107
ENSG00000168237,GLYCTK,1439,1258,332,687
ENSG00000114841,DNAH1,204,187,28,76
ENSG00000163930,BAP1,148,160,94,140
ENSG00000010318,PHF7,15,4,26,25
ENSG00000010319,SEMA3G,0,0,26,6
ENSG00000114854,TNNC1,0,0,0,0
ENSG00000010322,NISCH,118,135,177,73
ENSG00000010327,STAB1,544,485,146,284
ENSG00000168268,NT5DC2,45,50,45,70
ENSG00000168273,SMIM4,13,16,60,89
ENSG00000163939,PBRM1,173,210,274,168
ENSG00000163938,GNL3,218,183,493,120
ENSG00000016864,GLT8D1,67,52,329,152
ENSG00000114902,SPCS1,186,164,923,458
ENSG00000114904,NEK4,75,68,66,84
ENSG00000055957,ITIH1,2451,2189,3910,2015
ENSG00000162267,ITIH3,5005,4423,6665,5394
ENSG00000055955,ITIH4,9426,8569,10085,7272
ENSG00000243696,AC006254.1,9328,8480,10075,7217
ENSG00000272573,MUSTN1,11,23,40,7
ENSG00000248592,TMEM110-MUSTN1,124,131,132,80
ENSG00000213533,TMEM110,114,105,99,88
ENSG00000163935,SFMBT1,33,30,47,69
ENSG00000272305,AC096887.1,8,9,16,5
ENSG00000163933,RFT1,48,38,58,23
ENSG00000163932,PRKCD,44,37,34,10
ENSG00000163931,TKT,553,524,644,472
ENSG00000272886,DCP1A,120,231,73,86
ENSG00000157388,CACNA1D,162,245,31,71
ENSG00000016391,CHDH,486,445,131,287
ENSG00000056736,IL17RB,226,220,212,139
ENSG00000113812,ACTR8,8,7,52,27
ENSG00000113811,SELENOK,116,115,423,145
ENSG00000157445,CACNA2D3,0,0,0,0
ENSG00000144771,LRTM1,1,0,0,0
ENSG00000114251,WNT5A,0,0,1,0
ENSG00000187672,ERC2,0,1,0,0
ENSG00000180376,CCDC66,120,94,49,55
ENSG00000163946,FAM208A,168,143,74,122
ENSG00000163947,ARHGEF3,45,25,39,23
ENSG00000186451,SPATA12,0,0,0,0
ENSG00000144730,IL17RD,64,45,5,9
ENSG00000163666,HESX1,15,14,0,3
ENSG00000157500,APPL1,77,108,165,90
ENSG00000239388,ASB14,0,0,3,2
ENSG00000174844,DNAH12,14,16,1,0
ENSG00000174840,PDE12,85,82,89,86
ENSG00000168374,ARF4,206,198,1277,238
ENSG00000174839,DENND6A,59,44,27,34
ENSG00000163681,SLMAP,149,131,32,57
ENSG00000136068,FLNB,300,236,319,235
ENSG00000163687,DNASE1L3,273,251,693,331
ENSG00000163686,ABHD6,95,92,421,212
ENSG00000163684,RPP14,130,150,162,109
ENSG00000255154,HTD2,73,91,119,45
ENSG00000168297,PXK,14,5,78,17
ENSG00000168291,PDHB,89,93,567,321
ENSG00000168301,KCTD6,22,27,23,50
ENSG00000168306,ACOX2,473,420,214,314
ENSG00000168309,FAM107A,16,16,0,9
ENSG00000198643,FAM3D,5,1,1,1
ENSG00000163689,C3orf67,10,3,3,6
ENSG00000189283,FHIT,112,92,35,45
ENSG00000144724,PTPRG,45,46,68,92
ENSG00000114405,C3orf14,0,0,8,11
ENSG00000163618,CADPS,9,12,1,1
ENSG00000163630,SYNPR,0,1,0,0
ENSG00000188817,SNTN,2,4,0,0
ENSG00000163632,C3orf49,0,2,0,3
ENSG00000163634,THOC7,93,80,120,115
ENSG00000163635,ATXN7,380,343,43,142
ENSG00000163636,PSMD6,94,95,351,134
ENSG00000163637,PRICKLE2,145,129,3,5
ENSG00000163638,ADAMTS9,0,0,84,14
ENSG00000151276,MAGI1,118,90,71,76
ENSG00000144741,SLC25A26,43,38,169,98
ENSG00000144749,LRIG1,49,25,57,54
ENSG00000163376,KBTBD8,0,0,0,1
ENSG00000172340,SUCLG2,465,449,624,435
ENSG00000183662,FAM19A1,0,0,9,0
ENSG00000163377,FAM19A4,0,0,0,0
ENSG00000163378,EOGT,13,15,64,11
ENSG00000144747,TMF1,57,60,160,80
ENSG00000144744,UBA3,27,29,147,68
ENSG00000144746,ARL6IP5,134,112,334,245
ENSG00000163380,LMOD3,45,55,3,9
ENSG00000114541,FRMD4B,44,40,172,50
ENSG00000187098,MITF,2,5,0,4
ENSG00000114861,FOXP1,358,372,179,107
ENSG00000163412,EIF4E3,16,17,48,37
ENSG00000170837,GPR27,0,0,0,0
ENSG00000163421,PROK2,0,0,13,0
ENSG00000163602,RYBP,25,25,69,44
ENSG00000144736,SHQ1,34,36,74,36
ENSG00000172986,GXYLT2,8,5,7,4
ENSG00000163605,PPP4R2,202,190,256,224
ENSG00000255423,EBLN2,8,8,2,5
ENSG00000121440,PDZRN3,0,0,4,6
ENSG00000113805,CNTN3,25,12,62,6
ENSG00000172969,FRG2C,1,0,0,1
ENSG00000227124,ZNF717,18,16,8,5
ENSG00000185008,ROBO2,0,1,0,9
ENSG00000169855,ROBO1,4,7,78,28
ENSG00000114480,GBE1,30,42,202,239
ENSG00000175161,CADM2,1,1,84,13
ENSG00000206538,VGLL3,11,5,20,2
ENSG00000083937,CHMP2B,140,93,212,142
ENSG00000179097,HTR1F,0,0,0,0
ENSG00000163320,CGGBP1,93,88,154,156
ENSG00000175105,ZNF654,23,15,81,56
ENSG00000179021,C3orf38,62,50,37,41
ENSG00000044524,EPHA3,4,3,33,0
ENSG00000184500,PROS1,159,155,2013,1152
ENSG00000169379,ARL13B,2,1,72,7
ENSG00000178750,STX19,0,0,0,0
ENSG00000178700,DHFR2,5,8,18,20
ENSG00000178694,NSUN3,12,10,63,55
ENSG00000269028,MTRNR2L12,127896,119956,39905,31026
ENSG00000080224,EPHA6,0,0,0,0
ENSG00000113966,ARL6,8,16,2,6
ENSG00000080200,CRYBG3,59,64,136,77
ENSG00000170854,RIOX2,29,41,236,60
ENSG00000197938,OR5H2,0,0,0,0
ENSG00000080822,CLDND1,48,57,219,34
ENSG00000080819,CPOX,21,37,128,109
ENSG00000064225,ST3GAL6,138,129,209,170
ENSG00000057019,DCBLD2,93,74,71,109
ENSG00000144810,COL8A1,48,51,13,11
ENSG00000184220,CMSS1,54,39,217,71
ENSG00000168386,FILIP1L,26,28,66,34
ENSG00000036054,TBC1D23,195,202,158,84
ENSG00000114021,NIT2,193,279,155,458
ENSG00000154174,TOMM70,150,150,257,247
ENSG00000206535,LNP1,1,0,8,4
ENSG00000181458,TMEM45A,1199,1145,794,449
ENSG00000144820,ADGRG7,177,171,62,50
ENSG00000114354,TFG,201,190,756,416
