Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000162972,7,7,172,44
ENSG00000196141,425,394,365,285
ENSG00000155729,126,133,62,26
ENSG00000163535,29,25,4,4
ENSG00000138356,1870,1835,2142,3916
ENSG00000082153,631,590,741,494
ENSG00000013441,433,383,218,183
ENSG00000240344,35,28,26,25
ENSG00000196290,0,0,110,48
ENSG00000115942,48,43,11,47
ENSG00000155744,201,311,102,107
ENSG00000119013,137,132,348,220
ENSG00000003402,911,803,544,521
ENSG00000003400,152,114,62,34
ENSG00000064012,155,143,279,73
ENSG00000155749,16,18,14,5
ENSG00000115993,163,181,54,65
ENSG00000082146,246,222,322,232
ENSG00000155754,0,0,0,0
ENSG00000155755,17,12,8,4
ENSG00000082126,30,26,5,7
ENSG00000003393,84,61,70,94
ENSG00000138395,3,3,0,0
ENSG00000155760,0,0,0,3
ENSG00000182329,81,76,20,11
ENSG00000116030,246,243,646,287
ENSG00000055044,189,175,278,111
ENSG00000204217,131,134,225,249
ENSG00000138439,57,33,33,17
ENSG00000163596,75,69,17,20
ENSG00000138442,52,35,133,36
ENSG00000138380,42,60,20,49
ENSG00000144426,171,179,449,321
ENSG00000119004,366,331,173,130
ENSG00000138443,487,425,295,563
ENSG00000173166,459,390,161,521
ENSG00000178562,1,0,0,0
ENSG00000163599,0,0,0,0
ENSG00000163600,0,0,0,0
ENSG00000116117,79,49,128,76
ENSG00000118257,113,84,105,44
ENSG00000114933,221,209,68,86
ENSG00000023228,420,411,719,494
ENSG00000114942,298,315,1589,705
ENSG00000183671,6,3,0,1
ENSG00000204186,11,15,13,38
ENSG00000114948,0,0,0,0
ENSG00000138400,0,0,0,0
ENSG00000118246,32,24,128,45
ENSG00000144410,0,0,0,0
ENSG00000118263,107,97,16,48
ENSG00000118260,87,87,150,39
ENSG00000144401,245,363,94,143
ENSG00000163249,32,34,114,45
ENSG00000163251,146,116,217,289
ENSG00000178385,11,22,0,10
ENSG00000188674,1,1,0,0
ENSG00000138413,1065,955,1805,1603
ENSG00000115020,29,37,70,69
ENSG00000144407,7,3,1,2
ENSG00000078018,7,5,2,9
ENSG00000144406,13,17,5,11
ENSG00000197713,80,53,192,65
ENSG00000144445,118,112,75,58
ENSG00000115361,63,51,44,41
ENSG00000115365,7,20,148,45
ENSG00000021826,2936,2764,472,3959
ENSG00000178568,0,0,0,0
ENSG00000030419,11,5,2,2
ENSG00000144451,59,56,23,29
ENSG00000138376,0,2,54,19
ENSG00000144452,0,0,0,0
ENSG00000138363,20,13,182,107
ENSG00000115414,2622,2262,8712,4380
ENSG00000118242,71,89,35,18
ENSG00000115425,314,277,265,269
ENSG00000163449,8,11,5,6
ENSG00000079246,121,98,522,439
ENSG00000144583,0,0,0,0
ENSG00000138375,16,21,30,20
ENSG00000197756,541,501,3132,1582
ENSG00000115457,793,695,679,1350
ENSG00000115461,129,110,60,141
ENSG00000231672,0,0,0,0
ENSG00000079308,405,358,139,231
ENSG00000188282,0,0,0,1
ENSG00000180871,5,7,2,5
ENSG00000163464,0,0,0,0
ENSG00000163466,482,449,1020,356
ENSG00000179921,0,0,0,7
ENSG00000127837,215,192,202,183
ENSG00000127838,241,238,282,443
ENSG00000135926,92,84,534,338
ENSG00000158428,23,19,1,9
ENSG00000018280,59,69,23,17
ENSG00000144579,440,360,261,254
ENSG00000127831,36,32,83,50
ENSG00000135913,32,28,16,44
ENSG00000144580,37,43,205,84
ENSG00000115556,3,0,1,4
ENSG00000115568,22,18,5,21
ENSG00000074582,154,134,33,38
ENSG00000163481,35,19,87,18
ENSG00000163482,7,4,91,1
ENSG00000135912,62,39,31,11
ENSG00000135929,1107,1089,1838,2469
ENSG00000115596,0,0,0,0
ENSG00000135925,0,0,0,0
ENSG00000163499,0,0,0,0
ENSG00000181378,0,0,0,0
ENSG00000163501,0,0,12,1
ENSG00000187736,4,7,74,41
ENSG00000280537,7,13,73,35
ENSG00000213901,9,13,1,2
ENSG00000115649,10,15,117,67
ENSG00000144567,109,89,233,254
ENSG00000158552,50,51,219,121
ENSG00000115657,119,109,163,193
ENSG00000198925,153,163,283,326
ENSG00000163516,126,106,37,105
ENSG00000163521,29,18,44,22
ENSG00000115661,84,89,65,74
ENSG00000127824,254,274,423,152
ENSG00000243910,5,10,21,5
ENSG00000135924,85,69,30,48
ENSG00000054356,0,0,0,0
ENSG00000123992,170,170,139,155
ENSG00000175084,0,0,13,6
ENSG00000072195,9,4,1,3
ENSG00000144591,197,163,340,112
ENSG00000072182,3,2,1,1
ENSG00000123989,196,161,198,114
ENSG00000188760,5,3,25,3
ENSG00000124006,179,155,40,71
ENSG00000123999,0,0,0,0
ENSG00000144589,130,99,0,19
ENSG00000114923,0,0,2,5
ENSG00000116106,0,0,0,2
ENSG00000163082,8,6,10,5
ENSG00000116120,109,102,90,52
ENSG00000124003,8,13,0,23
ENSG00000123983,141,144,403,245
ENSG00000152049,110,98,10,18
ENSG00000171951,0,0,0,0
ENSG00000152056,43,43,41,5
ENSG00000085449,43,61,126,128
ENSG00000135900,157,137,375,127
ENSG00000135919,36,34,38,45
ENSG00000124019,0,1,0,4
ENSG00000036257,132,137,184,147
ENSG00000135905,6,3,3,13
ENSG00000144460,37,30,3,1
ENSG00000169047,189,165,27,194
ENSG00000144468,35,30,172,62
ENSG00000081052,0,0,6,3
ENSG00000169031,2,0,0,0
ENSG00000168958,83,68,215,115
ENSG00000168955,4,1,0,0
ENSG00000173744,24,29,65,41
ENSG00000042304,12,11,1,3
ENSG00000135917,54,58,158,63
ENSG00000115009,0,0,29,3
ENSG00000123977,13,13,1,2
ENSG00000153823,59,50,411,195
ENSG00000187957,0,0,0,0
ENSG00000153827,260,195,140,183
ENSG00000153832,19,18,4,5
ENSG00000163053,3,3,20,2
ENSG00000135899,140,127,66,76
ENSG00000079263,5,6,14,2
ENSG00000185404,66,91,18,13
ENSG00000067066,436,428,244,286
ENSG00000135932,23,55,157,88
ENSG00000135916,47,42,214,137
ENSG00000135898,0,0,0,3
ENSG00000204128,176,177,172,435
ENSG00000173692,56,48,509,255
ENSG00000135914,5,12,5,3
ENSG00000135931,46,69,13,10
ENSG00000156966,8,154,0,1
ENSG00000115053,540,450,1175,391
ENSG00000171596,49,43,7,0
ENSG00000187514,874,755,2119,1017
ENSG00000156973,0,0,8,16
ENSG00000144524,71,65,33,80
ENSG00000163273,0,0,0,0
ENSG00000144535,138,141,83,36
ENSG00000163283,4,4,2,1
ENSG00000163286,0,0,0,0
ENSG00000163295,0,0,0,2
ENSG00000171551,0,0,0,9
ENSG00000237412,0,0,0,0
ENSG00000135902,0,0,0,0
ENSG00000196811,0,0,0,0
ENSG00000221944,12,17,7,10
ENSG00000135930,119,107,196,157
ENSG00000115468,85,86,15,110
ENSG00000204120,227,207,131,143
ENSG00000115474,13,14,0,1
ENSG00000182600,25,32,15,28
ENSG00000066248,63,60,79,40
ENSG00000168918,30,48,2,26
ENSG00000085978,0,2,73,31
ENSG00000130561,76,93,14,23
ENSG00000077044,120,118,30,14
ENSG00000085982,202,189,26,102
ENSG00000242366,1920,1790,645,975
ENSG00000242515,2159,2008,755,1107
ENSG00000241119,1958,1820,645,988
ENSG00000244122,1922,1792,645,983
ENSG00000167165,2529,2369,865,1278
ENSG00000240224,1937,1810,649,975
ENSG00000244474,2180,2023,783,1047
ENSG00000243135,2226,2089,784,1149
ENSG00000241635,2653,2487,996,1245
ENSG00000185038,6,12,0,0
ENSG00000123485,7,9,1,0
ENSG00000144481,25,22,778,214
ENSG00000072080,201,188,181,307
ENSG00000188042,14,15,8,12
ENSG00000130147,37,38,102,86
ENSG00000157985,5,4,5,25
ENSG00000168505,0,0,0,0
ENSG00000182177,10,6,1,0
ENSG00000132321,0,0,0,0
ENSG00000144476,0,0,3,1
ENSG00000198612,1,0,233,92
ENSG00000163359,93,95,194,88
ENSG00000115648,418,432,174,54
ENSG00000124839,1103,935,264,454
ENSG00000124831,1014,1019,610,594
ENSG00000177483,0,4,0,0
ENSG00000132329,258,243,135,730
ENSG00000184182,26,31,293,138
ENSG00000258984,146,154,282,168
ENSG00000132330,441,394,157,132
ENSG00000144488,0,0,1,0
ENSG00000168427,10,18,1,2
ENSG00000178752,14,11,1,0
ENSG00000132323,75,51,40,39
ENSG00000144485,5,6,23,16
ENSG00000132326,79,70,35,67
ENSG00000204104,117,110,35,32
ENSG00000065802,36,25,44,31
ENSG00000233608,0,0,0,3
ENSG00000068024,42,43,3,21
ENSG00000130414,394,367,411,254
ENSG00000172428,51,35,98,121
ENSG00000063660,100,59,76,87
ENSG00000144504,30,32,7,44
ENSG00000188542,85,85,7,21
ENSG00000142327,136,147,110,125
ENSG00000142330,3,6,2,6
ENSG00000178623,2,6,0,2
ENSG00000185176,0,0,0,0
ENSG00000184945,0,0,0,0
ENSG00000130294,0,0,0,0
ENSG00000172482,11581,10160,5115,5843
ENSG00000172478,2,0,1,0
ENSG00000226321,0,0,1,3
ENSG00000162804,75,54,24,41
ENSG00000122085,41,46,102,43
ENSG00000115687,8,9,25,14
ENSG00000115685,31,20,202,61
ENSG00000146205,0,2,0,19
ENSG00000115677,615,516,1054,650
ENSG00000168385,152,141,528,359
ENSG00000006607,120,123,121,87
ENSG00000115694,479,359,133,175
ENSG00000176720,644,564,340,370
ENSG00000176946,41,43,192,138
ENSG00000168397,228,197,172,96
ENSG00000168393,18,17,108,46
ENSG00000168395,78,84,53,44
ENSG00000180902,90,81,52,55
ENSG00000154252,0,0,0,0
ENSG00000204099,168,147,165,132
ENSG00000188389,0,0,0,0
ENSG00000134121,5,1,0,1
ENSG00000134115,0,0,0,0
ENSG00000144619,10,15,22,6
ENSG00000091181,0,0,0,0
ENSG00000072756,222,224,92,112
ENSG00000113851,125,126,112,183
ENSG00000144455,56,32,144,142
ENSG00000175928,0,0,0,0
ENSG00000170364,44,35,1,11
ENSG00000150995,14,15,14,12
ENSG00000134107,272,240,173,90
ENSG00000134108,182,175,326,247
ENSG00000134109,49,43,195,153
ENSG00000196277,11,6,2,9
ENSG00000071282,55,49,69,12
ENSG00000125046,0,0,9,10
ENSG00000182533,0,0,0,0
ENSG00000180914,0,0,0,0
ENSG00000070950,30,31,0,8
ENSG00000196220,38,36,44,17
ENSG00000134077,40,36,90,54
ENSG00000168137,852,801,202,186
ENSG00000156959,0,0,0,0
ENSG00000163719,76,79,35,12
ENSG00000144550,0,0,0,0
ENSG00000156983,10,9,39,16
ENSG00000114026,273,236,126,68
ENSG00000134072,44,43,126,50
ENSG00000171148,191,168,214,73
ENSG00000241553,241,209,404,211
ENSG00000250151,370,308,123,59
ENSG00000214021,421,336,26,50
ENSG00000156990,87,101,143,124
ENSG00000187288,0,0,79,0
ENSG00000171135,58,85,178,156
ENSG00000163701,7,11,0,3
ENSG00000163702,129,88,93,107
ENSG00000163703,622,529,122,44
ENSG00000163704,27,39,8,6
ENSG00000125037,227,225,398,197
ENSG00000144554,47,44,59,14
ENSG00000163705,11,8,10,1
ENSG00000254999,219,226,416,309
ENSG00000134086,72,76,75,90
ENSG00000134070,11,14,63,29
ENSG00000157014,22,30,52,51
ENSG00000272410,11,18,0,9
ENSG00000157017,0,0,14,3
ENSG00000157020,217,220,399,210
ENSG00000157087,156,147,86,168
ENSG00000132164,15,16,0,1
ENSG00000157103,120,121,115,243
ENSG00000196639,6,9,7,5
ENSG00000197548,129,103,130,118
ENSG00000144560,46,35,137,88
ENSG00000144559,18,25,82,29
ENSG00000157152,0,0,0,0
ENSG00000157150,0,0,0,1
ENSG00000132170,22,28,125,65
ENSG00000154743,21,22,3,30
ENSG00000225526,14,18,6,3
ENSG00000075975,30,29,76,44
ENSG00000132155,372,341,185,163
ENSG00000088726,8,12,0,1
ENSG00000144712,0,4,1,6
ENSG00000144713,548,440,1814,758
ENSG00000144711,180,175,119,167
ENSG00000132182,286,270,13,54
ENSG00000163517,22,19,20,16
ENSG00000163520,0,0,23,1
ENSG00000154764,0,2,0,0
ENSG00000163528,3,1,62,34
ENSG00000170876,68,63,86,71
ENSG00000268279,66,58,20,40
ENSG00000154767,334,277,15,68
ENSG00000170860,54,76,409,237
ENSG00000131389,1,1,16,9
ENSG00000144596,1,2,12,3
ENSG00000154781,41,34,62,48
ENSG00000154783,24,16,2,13
ENSG00000177463,98,76,43,62
ENSG00000131368,131,136,123,140
ENSG00000131381,50,42,39,59
ENSG00000131375,63,78,34,66
ENSG00000131370,87,99,89,63
ENSG00000206562,23,19,134,41
ENSG00000144597,28,27,83,67
ENSG00000206561,1,0,0,6
ENSG00000131373,49,52,238,110
ENSG00000169814,89,88,182,238
ENSG00000206560,72,76,36,142
ENSG00000131386,15,7,0,4
ENSG00000154813,65,62,109,65
ENSG00000154814,26,21,0,57
ENSG00000131378,8,14,164,48
ENSG00000154822,15,15,4,34
ENSG00000131374,40,34,13,45
ENSG00000182568,60,59,89,71
ENSG00000183960,0,0,0,0
ENSG00000163576,15,9,0,3
ENSG00000144566,152,129,242,155
ENSG00000183977,0,0,6,4
ENSG00000114166,150,164,161,142
ENSG00000129810,11,8,4,16
ENSG00000151789,43,33,4,5
ENSG00000182247,37,37,72,83
ENSG00000170142,12,18,105,58
ENSG00000197885,32,31,15,79
ENSG00000174748,1164,1155,4461,1362
ENSG00000174738,93,77,62,86
ENSG00000151090,77,72,99,96
ENSG00000077092,48,31,41,18
ENSG00000077097,56,57,198,81
ENSG00000151092,58,56,206,71
ENSG00000151093,3,4,47,57
ENSG00000179796,0,0,0,0
ENSG00000163491,34,16,0,4
ENSG00000033867,32,33,43,32
ENSG00000163508,0,0,0,0
ENSG00000187118,205,214,189,119
ENSG00000163512,222,219,218,79
ENSG00000206559,3,5,0,0
ENSG00000144642,297,269,78,52
ENSG00000163513,227,209,161,158
ENSG00000144644,11,6,12,17
ENSG00000163527,133,108,544,231
ENSG00000144645,16,20,29,39
ENSG00000197385,0,0,1,0
ENSG00000152642,1,5,34,9
ENSG00000170293,86,88,216,97
ENSG00000153551,125,131,195,276
ENSG00000091317,184,190,788,650
ENSG00000144635,36,24,114,49
ENSG00000182973,51,55,104,40
ENSG00000206557,0,0,0,0
ENSG00000183813,48,29,1,4
ENSG00000170266,43,37,254,127
ENSG00000188167,0,0,0,2
ENSG00000170275,144,128,551,364
ENSG00000173705,8,5,0,3
ENSG00000153558,26,24,8,11
ENSG00000153560,16,8,89,141
ENSG00000163539,51,36,51,38
ENSG00000170248,112,117,350,194
ENSG00000172995,0,0,3,2
ENSG00000144681,0,0,0,3
ENSG00000168016,132,137,32,102
ENSG00000178567,122,110,50,74
ENSG00000076242,10,11,130,92
ENSG00000093167,97,96,168,119
ENSG00000144674,1058,969,897,461
ENSG00000144668,169,146,98,97
ENSG00000144677,322,334,230,184
ENSG00000136059,1,3,0,0
ENSG00000187091,0,0,21,14
ENSG00000008226,1094,983,549,1187
ENSG00000060971,1893,1656,1053,1663
ENSG00000172936,63,73,542,336
ENSG00000172939,93,73,72,78
ENSG00000172940,18,20,0,0
ENSG00000144671,0,0,0,0
ENSG00000093217,556,581,84,217
ENSG00000114739,41,42,14,22
ENSG00000157036,18,28,51,32
ENSG00000183873,0,0,0,1
ENSG00000168356,14,18,2,4
ENSG00000114742,81,82,95,66
ENSG00000114745,36,22,30,53
ENSG00000168026,46,51,3,5
ENSG00000144655,83,69,142,23
ENSG00000168334,0,0,0,0
ENSG00000168329,3,0,2,3
ENSG00000179934,0,0,0,0
ENSG00000144659,115,101,154,96
ENSG00000168028,299,240,1923,968
ENSG00000168314,27,28,14,7
ENSG00000170011,68,77,160,105
ENSG00000114784,120,101,244,158
ENSG00000168032,10,9,0,3
ENSG00000188846,529,496,1215,595
ENSG00000177873,32,19,42,11
ENSG00000177842,53,36,11,11
ENSG00000172888,76,56,6,25
ENSG00000168036,378,345,588,499
ENSG00000168038,1,0,15,5
ENSG00000182606,43,60,45,43
ENSG00000187094,0,3,0,6
ENSG00000157093,0,0,0,0
ENSG00000114812,84,81,78,160
ENSG00000093183,155,159,77,86
ENSG00000008324,8,17,103,61
ENSG00000114857,1156,1063,345,298
ENSG00000114853,6,6,0,19
ENSG00000244607,74,52,16,18
ENSG00000010282,0,2,0,2
ENSG00000280571,133,119,261,102
ENSG00000181061,698,660,1905,878
ENSG00000144648,18,19,82,5
ENSG00000273291,5,7,16,0
ENSG00000240747,0,0,20,0
ENSG00000180432,1052,925,1000,3842
ENSG00000182983,14,18,6,2
ENSG00000144649,20,16,26,19
ENSG00000144647,34,29,16,34
ENSG00000163788,138,132,180,85
ENSG00000160746,16,16,56,22
ENSG00000011198,53,48,19,22
ENSG00000179152,88,92,122,106
ENSG00000185219,48,56,65,65
ENSG00000178917,0,0,1,0
ENSG00000196345,26,27,14,0
ENSG00000144792,32,15,8,1
ENSG00000186448,21,25,16,37
ENSG00000169981,0,0,0,6
ENSG00000196653,1,0,33,9
ENSG00000186446,8,5,8,1
ENSG00000163807,141,122,133,76
ENSG00000163808,0,0,85,5
ENSG00000169964,49,53,16,109
ENSG00000163810,0,0,0,0
ENSG00000163812,43,51,107,84
ENSG00000075914,185,163,130,113
ENSG00000163815,112,93,73,20
ENSG00000163814,19,13,6,5
ENSG00000249992,0,0,0,0
ENSG00000011376,8,9,60,9
ENSG00000144791,187,160,35,216
ENSG00000211456,7,16,53,49
ENSG00000163817,11,13,7,4
ENSG00000163818,16,17,65,34
ENSG00000173585,0,0,0,0
ENSG00000163820,42,59,33,88
ENSG00000172215,0,0,43,0
ENSG00000173578,0,0,0,15
ENSG00000183625,0,0,0,0
ENSG00000163823,3,1,60,31
ENSG00000121807,2,0,0,7
ENSG00000160791,0,0,0,0
ENSG00000121797,0,0,0,0
ENSG00000012223,0,0,0,11
ENSG00000163825,13,14,311,211
ENSG00000163827,95,94,93,60
ENSG00000241186,8,1,19,5
ENSG00000178038,336,336,227,79
ENSG00000181585,0,0,0,1
ENSG00000206549,0,0,0,0
ENSG00000188086,0,0,0,0
ENSG00000178055,0,0,0,2
ENSG00000160808,0,0,6,5
ENSG00000160801,78,56,22,61
ENSG00000160799,124,111,103,114
ENSG00000160796,3,0,5,18
ENSG00000181555,310,303,150,118
ENSG00000088727,16,21,6,0
ENSG00000114648,12,27,30,19
ENSG00000076201,54,58,162,49
ENSG00000114650,198,176,179,147
ENSG00000163832,19,26,32,56
ENSG00000114646,0,0,0,0
ENSG00000173473,301,298,135,81
ENSG00000132153,50,56,132,90
ENSG00000047849,1087,937,867,357
ENSG00000164045,0,0,0,10
ENSG00000164047,0,0,4,0
ENSG00000164048,6,8,20,5
ENSG00000172113,68,49,34,26
ENSG00000164049,7,7,2,5
ENSG00000164050,557,488,166,231
ENSG00000164051,64,76,140,112
ENSG00000232112,232,214,663,362
ENSG00000164053,31,25,32,4
ENSG00000213689,50,37,28,44
ENSG00000164054,375,327,517,546
ENSG00000114268,3,1,10,0
ENSG00000145040,0,0,0,0
ENSG00000114270,22,22,0,1
ENSG00000010256,737,678,1498,1098
ENSG00000225697,92,68,51,22
ENSG00000008300,0,1,0,1
ENSG00000213672,127,118,12,24
ENSG00000068745,56,52,18,79
ENSG00000114302,230,301,163,317
ENSG00000178537,213,194,385,256
ENSG00000221883,27,35,3,3
ENSG00000177479,152,136,77,116
ENSG00000178467,12,8,19,11
ENSG00000178252,728,642,198,260
ENSG00000178149,735,623,127,196
ENSG00000178057,156,138,291,226
ENSG00000178035,197,194,273,103
ENSG00000198218,47,50,50,48
ENSG00000172053,92,77,264,223
ENSG00000172046,44,53,37,30
ENSG00000172037,575,500,301,375
ENSG00000177352,11,14,11,3
ENSG00000185909,23,17,147,95
ENSG00000173421,53,48,4,5
ENSG00000188315,29,29,6,32
ENSG00000114316,135,158,62,69
ENSG00000233276,709,605,999,834
ENSG00000067560,919,814,1745,1189
ENSG00000145022,72,78,102,104
ENSG00000145020,298,254,90,201
ENSG00000145029,90,68,3,20
ENSG00000173402,184,185,158,270
ENSG00000164061,33,36,0,2
ENSG00000164062,479,493,627,693
ENSG00000173531,2064,1883,1339,1468
ENSG00000164068,133,146,184,78
ENSG00000176020,0,0,0,0
ENSG00000173540,70,79,205,91
ENSG00000176095,28,27,115,50
ENSG00000187492,33,35,3,4
ENSG00000185614,0,0,9,3
ENSG00000182179,288,198,70,74
ENSG00000183763,0,0,2,1
ENSG00000164076,0,0,0,0
ENSG00000164078,0,0,35,1
ENSG00000164077,105,98,37,61
ENSG00000004534,543,473,55,177
ENSG00000003756,191,215,144,175
ENSG00000001617,39,41,8,12
ENSG00000114349,0,0,0,0
ENSG00000188338,1691,1442,780,1190
ENSG00000114353,139,127,207,166
ENSG00000012171,15,21,5,8
ENSG00000179564,84,84,91,65
ENSG00000214706,183,201,370,138
ENSG00000186792,0,0,17,16
ENSG00000243477,2,8,12,9
ENSG00000114378,219,200,454,639
ENSG00000068001,230,211,276,61
ENSG00000114383,96,122,134,92
ENSG00000068028,3,1,120,43
ENSG00000004838,39,16,1,3
ENSG00000114388,109,124,58,59
ENSG00000114395,43,57,50,51
ENSG00000272104,0,0,2,2
ENSG00000126062,231,218,101,94
ENSG00000007402,15,17,0,3
ENSG00000088543,0,3,2,16
ENSG00000114735,235,256,110,106
ENSG00000114737,0,0,111,170
ENSG00000114738,57,62,48,93
ENSG00000088538,0,0,0,0
ENSG00000145050,113,129,597,208
ENSG00000259956,12,15,47,59
ENSG00000145041,17,20,221,84
ENSG00000164080,162,167,117,100
ENSG00000164081,91,80,158,262
ENSG00000164082,0,0,0,0
ENSG00000229972,0,0,0,0
ENSG00000173389,0,0,0,0
ENSG00000114767,52,28,22,15
ENSG00000041880,22,14,61,31
ENSG00000180929,4,4,0,5
ENSG00000090097,96,84,33,24
ENSG00000114779,405,374,238,313
ENSG00000248487,153,115,63,63
ENSG00000114786,661,637,702,894
ENSG00000243989,663,644,697,889
ENSG00000162244,766,683,1900,1169
ENSG00000164086,31,32,31,12
ENSG00000164087,31,33,0,10
ENSG00000023330,961,858,462,592
ENSG00000239732,0,0,0,1
ENSG00000173366,27,18,35,14
ENSG00000247596,75,60,142,46
ENSG00000164088,0,0,1,24
ENSG00000164091,76,77,201,107
ENSG00000168237,1439,1258,332,687
ENSG00000114841,204,187,28,76
ENSG00000163930,148,160,94,140
ENSG00000010318,15,4,26,25
ENSG00000010319,0,0,26,6
ENSG00000114854,0,0,0,0
ENSG00000010322,118,135,177,73
ENSG00000010327,544,485,146,284
ENSG00000168268,45,50,45,70
ENSG00000168273,13,16,60,89
ENSG00000163939,173,210,274,168
ENSG00000163938,218,183,493,120
ENSG00000016864,67,52,329,152
ENSG00000114902,186,164,923,458
ENSG00000114904,75,68,66,84
ENSG00000055957,2451,2189,3910,2015
ENSG00000162267,5005,4423,6665,5394
ENSG00000055955,9426,8569,10085,7272
ENSG00000243696,9328,8480,10075,7217
ENSG00000272573,11,23,40,7
ENSG00000248592,124,131,132,80
ENSG00000213533,114,105,99,88
ENSG00000163935,33,30,47,69
ENSG00000272305,8,9,16,5
ENSG00000163933,48,38,58,23
ENSG00000163932,44,37,34,10
ENSG00000163931,553,524,644,472
ENSG00000272886,120,231,73,86
ENSG00000157388,162,245,31,71
ENSG00000016391,486,445,131,287
ENSG00000056736,226,220,212,139
ENSG00000113812,8,7,52,27
ENSG00000113811,116,115,423,145
ENSG00000157445,0,0,0,0
ENSG00000144771,1,0,0,0
ENSG00000114251,0,0,1,0
ENSG00000187672,0,1,0,0
ENSG00000180376,120,94,49,55
ENSG00000163946,168,143,74,122
ENSG00000163947,45,25,39,23
ENSG00000186451,0,0,0,0
ENSG00000144730,64,45,5,9
ENSG00000163666,15,14,0,3
ENSG00000157500,77,108,165,90
ENSG00000239388,0,0,3,2
ENSG00000174844,14,16,1,0
ENSG00000174840,85,82,89,86
ENSG00000168374,206,198,1277,238
ENSG00000174839,59,44,27,34
ENSG00000163681,149,131,32,57
ENSG00000136068,300,236,319,235
ENSG00000163687,273,251,693,331
ENSG00000163686,95,92,421,212
ENSG00000163684,130,150,162,109
ENSG00000255154,73,91,119,45
ENSG00000168297,14,5,78,17
ENSG00000168291,89,93,567,321
ENSG00000168301,22,27,23,50
ENSG00000168306,473,420,214,314
ENSG00000168309,16,16,0,9
ENSG00000198643,5,1,1,1
ENSG00000163689,10,3,3,6
ENSG00000189283,112,92,35,45
ENSG00000144724,45,46,68,92
ENSG00000114405,0,0,8,11
ENSG00000163618,9,12,1,1
ENSG00000163630,0,1,0,0
ENSG00000188817,2,4,0,0
ENSG00000163632,0,2,0,3
ENSG00000163634,93,80,120,115
ENSG00000163635,380,343,43,142
ENSG00000163636,94,95,351,134
ENSG00000163637,145,129,3,5
ENSG00000163638,0,0,84,14
ENSG00000151276,118,90,71,76
ENSG00000144741,43,38,169,98
ENSG00000144749,49,25,57,54
ENSG00000163376,0,0,0,1
ENSG00000172340,465,449,624,435
ENSG00000183662,0,0,9,0
ENSG00000163377,0,0,0,0
ENSG00000163378,13,15,64,11
ENSG00000144747,57,60,160,80
ENSG00000144744,27,29,147,68
ENSG00000144746,134,112,334,245
ENSG00000163380,45,55,3,9
ENSG00000114541,44,40,172,50
ENSG00000187098,2,5,0,4
ENSG00000114861,358,372,179,107
ENSG00000163412,16,17,48,37
ENSG00000170837,0,0,0,0
ENSG00000163421,0,0,13,0
ENSG00000163602,25,25,69,44
ENSG00000144736,34,36,74,36
ENSG00000172986,8,5,7,4
ENSG00000163605,202,190,256,224
ENSG00000255423,8,8,2,5
ENSG00000121440,0,0,4,6
ENSG00000113805,25,12,62,6
ENSG00000172969,1,0,0,1
ENSG00000227124,18,16,8,5
ENSG00000185008,0,1,0,9
ENSG00000169855,4,7,78,28
ENSG00000114480,30,42,202,239
ENSG00000175161,1,1,84,13
ENSG00000206538,11,5,20,2
ENSG00000083937,140,93,212,142
ENSG00000179097,0,0,0,0
ENSG00000163320,93,88,154,156
ENSG00000175105,23,15,81,56
ENSG00000179021,62,50,37,41
ENSG00000044524,4,3,33,0
ENSG00000184500,159,155,2013,1152
ENSG00000169379,2,1,72,7
ENSG00000178750,0,0,0,0
ENSG00000178700,5,8,18,20
ENSG00000178694,12,10,63,55
ENSG00000269028,127896,119956,39905,31026
ENSG00000080224,0,0,0,0
ENSG00000113966,8,16,2,6
ENSG00000080200,59,64,136,77
ENSG00000170854,29,41,236,60
ENSG00000197938,0,0,0,0
ENSG00000080822,48,57,219,34
ENSG00000080819,21,37,128,109
ENSG00000064225,138,129,209,170
ENSG00000057019,93,74,71,109
ENSG00000144810,48,51,13,11
ENSG00000184220,54,39,217,71
ENSG00000168386,26,28,66,34
ENSG00000036054,195,202,158,84
ENSG00000114021,193,279,155,458
ENSG00000154174,150,150,257,247
ENSG00000206535,1,0,8,4
ENSG00000181458,1199,1145,794,449
ENSG00000144820,177,171,62,50
ENSG00000114354,201,190,756,416
ENSG00000154175,13,15,12,24
ENSG00000081148,15,5,2,2
ENSG00000138468,112,115,7,24
ENSG00000174173,140,95,118,64
ENSG00000081154,146,102,284,140
ENSG00000066422,22,23,44,53
ENSG00000114391,310,274,1084,556
ENSG00000182504,127,108,8,14
ENSG00000144815,93,90,3,24
ENSG00000144802,69,74,211,131
ENSG00000170044,0,0,0,0
ENSG00000170017,96,88,304,168
ENSG00000114423,78,79,12,36
ENSG00000138483,0,0,0,0
ENSG00000114439,178,192,89,103
ENSG00000196776,155,149,265,167
ENSG00000114446,2,1,62,10
ENSG00000114455,10,6,0,1
ENSG00000144821,0,0,0,0
ENSG00000163507,0,0,0,0
ENSG00000198919,32,41,33,13
ENSG00000163519,0,0,0,6
ENSG00000163530,0,1,0,0
ENSG00000121570,50,53,3,6
ENSG00000177707,82,97,142,61
ENSG00000153283,17,19,26,2
ENSG00000177494,0,0,0,0
ENSG00000240891,29,30,23,14
ENSG00000144824,388,364,125,147
