Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000197343,117,97,259
ENSG00000272647,4,10,4
ENSG00000197037,34,45,46
ENSG00000106258,3995,3425,703
ENSG00000282301,1077,921,473
ENSG00000160870,1829,1549,989
ENSG00000160868,10591,8715,73
ENSG00000021461,327,263,59
ENSG00000146833,97,102,129
ENSG00000176402,26,16,3
ENSG00000160862,11506,9454,2420
ENSG00000106261,946,808,782
ENSG00000166529,59,40,28
ENSG00000166526,212,137,100
ENSG00000168090,345,263,355
ENSG00000166508,94,83,197
ENSG00000221838,45,40,23
ENSG00000106290,23,28,24
ENSG00000166997,28,7,90
ENSG00000214309,5,6,11
ENSG00000188186,546,464,744
ENSG00000146826,38,21,3
ENSG00000197093,8,4,14
ENSG00000213420,0,0,1
ENSG00000066923,145,110,80
ENSG00000239521,34,19,16
ENSG00000213413,63,38,36
ENSG00000214300,88,68,151
ENSG00000272752,321,252,185
ENSG00000121716,348,281,219
ENSG00000085514,98,85,74
ENSG00000078487,25,30,18
ENSG00000146834,127,92,144
ENSG00000160813,43,24,52
ENSG00000185955,0,0,0
ENSG00000166925,38,39,25
ENSG00000166924,0,0,0
ENSG00000106351,234,176,329
ENSG00000205307,19,16,6
ENSG00000077454,83,69,68
ENSG00000106336,61,53,4
ENSG00000106333,438,356,7
ENSG00000106330,133,91,41
ENSG00000106327,4015,3319,1262
ENSG00000077080,0,0,3
ENSG00000172354,661,575,838
ENSG00000146830,136,92,117
ENSG00000172336,143,126,104
ENSG00000130427,2,1,2
ENSG00000146839,0,0,0
ENSG00000196411,88,79,198
ENSG00000146828,59,69,101
ENSG00000087077,244,189,311
ENSG00000087087,101,98,163
ENSG00000176125,11,15,1
ENSG00000087085,26,23,15
ENSG00000169894,1610,1271,20
ENSG00000205277,2,1,0
ENSG00000169876,0,0,0
ENSG00000169871,284,286,491
ENSG00000106366,477,341,445
ENSG00000106367,63,54,70
ENSG00000128564,1,1,0
ENSG00000167011,1,0,0
ENSG00000106384,84,68,248
ENSG00000106397,253,189,267
ENSG00000106400,1403,1042,947
ENSG00000106404,67,83,198
ENSG00000214253,800,654,504
ENSG00000128581,59,47,63
ENSG00000160963,9,13,0
ENSG00000106436,5,2,7
ENSG00000257923,515,421,466
ENSG00000160999,2,0,0
ENSG00000260097,26,17,34
ENSG00000128563,65,46,66
ENSG00000160991,95,83,107
ENSG00000160993,7,8,17
ENSG00000161036,54,57,46
ENSG00000005075,320,235,200
ENSG00000170667,13,17,31
ENSG00000168255,287,262,336
ENSG00000270249,47,38,42
ENSG00000205238,44,39,54
ENSG00000105808,34,37,61
ENSG00000205236,21,25,32
ENSG00000267368,35,38,63
ENSG00000267645,71,72,86
ENSG00000173678,23,24,51
ENSG00000228049,86,72,74
ENSG00000222011,7,8,6
ENSG00000161040,6,6,1
ENSG00000128606,2,4,0
ENSG00000170632,160,146,115
ENSG00000161048,50,44,69
ENSG00000105819,300,251,252
ENSG00000105821,89,103,125
ENSG00000161057,243,206,254
ENSG00000170615,0,0,0
ENSG00000189056,79,77,242
ENSG00000164815,33,27,36
ENSG00000187416,0,0,0
ENSG00000005483,352,275,432
ENSG00000135250,154,114,129
ENSG00000091127,12,13,9
ENSG00000135249,83,74,22
ENSG00000185055,44,37,17
ENSG00000146776,65,68,27
ENSG00000128536,19,14,28
ENSG00000008282,222,196,222
ENSG00000105835,935,781,299
ENSG00000253276,108,103,30
ENSG00000105851,27,13,2
ENSG00000005249,4,1,6
ENSG00000105856,217,210,102
ENSG00000164597,200,181,93
ENSG00000172209,4,2,3
ENSG00000105865,41,52,10
ENSG00000075790,183,160,117
ENSG00000091137,10,11,14
ENSG00000105879,68,54,117
ENSG00000091138,0,0,0
ENSG00000091140,258,215,107
ENSG00000091136,30,24,8
ENSG00000091128,15,15,19
ENSG00000091129,5,8,15
ENSG00000135241,117,113,31
ENSG00000177683,200,167,137
ENSG00000128590,389,322,133
ENSG00000184903,103,82,39
ENSG00000173114,32,26,0
ENSG00000128512,49,38,24
ENSG00000198839,124,93,62
ENSG00000006652,164,120,76
ENSG00000181016,13,28,15
ENSG00000146802,41,42,68
ENSG00000164603,0,0,10
ENSG00000164604,0,1,0
ENSG00000128573,22,42,22
ENSG00000135272,47,45,16
ENSG00000105967,15,15,1
ENSG00000135269,41,39,28
ENSG00000105971,154,109,127
ENSG00000105974,33,28,134
ENSG00000105976,192,178,228
ENSG00000198898,157,143,205
ENSG00000004866,120,113,72
ENSG00000105989,2,0,0
ENSG00000154438,2,2,1
ENSG00000001626,14,24,2
ENSG00000077063,1,5,0
ENSG00000128534,100,76,115
ENSG00000106013,0,0,0
ENSG00000184408,0,0,0
ENSG00000106025,33,46,6
ENSG00000071243,52,35,42
ENSG00000106034,130,107,3
ENSG00000002745,0,0,0
ENSG00000196937,131,115,80
ENSG00000106278,0,0,2
ENSG00000008311,480,361,28
ENSG00000128610,0,0,0
ENSG00000081803,44,35,12
ENSG00000188050,0,0,0
ENSG00000235631,0,0,0
ENSG00000081800,2,1,4
ENSG00000164675,6,2,0
ENSG00000128609,292,198,90
ENSG00000146809,0,0,0
ENSG00000106299,552,427,536
ENSG00000106302,4,8,7
ENSG00000234224,0,0,0
ENSG00000170775,20,6,110
ENSG00000275356,0,0,0
ENSG00000128513,11,13,17
ENSG00000179603,2,3,0
ENSG00000048405,90,92,106
ENSG00000179562,185,144,112
ENSG00000004059,373,313,292
ENSG00000106328,154,113,124
ENSG00000197157,408,324,385
ENSG00000128594,61,48,33
ENSG00000174697,2,3,2
ENSG00000106344,212,181,170
ENSG00000224940,1,0,0
ENSG00000106348,11,7,8
ENSG00000135245,9,8,16
ENSG00000165055,102,85,148
ENSG00000205085,47,39,46
ENSG00000135248,0,0,0
ENSG00000128595,323,255,541
ENSG00000128617,0,2,0
ENSG00000128596,0,0,0
ENSG00000128591,4,4,0
ENSG00000135253,46,31,68
ENSG00000128524,231,227,497
ENSG00000128604,76,69,87
ENSG00000064419,96,90,24
ENSG00000158457,102,90,184
ENSG00000128602,92,80,232
ENSG00000158467,42,16,57
ENSG00000128578,19,17,22
ENSG00000240204,0,0,0
ENSG00000106459,29,23,40
ENSG00000186591,290,273,199
ENSG00000091732,59,37,39
ENSG00000128607,240,191,75
ENSG00000146842,148,125,139
ENSG00000158516,0,0,0
ENSG00000128510,7,6,11
ENSG00000158525,0,0,0
ENSG00000091704,0,0,0
ENSG00000106477,66,52,74
ENSG00000106484,152,138,69
ENSG00000158623,21,21,12
ENSG00000213265,13,9,16
ENSG00000128585,325,243,323
ENSG00000128567,33,37,31
ENSG00000221866,0,0,0
ENSG00000106554,73,35,65
ENSG00000131558,150,99,117
ENSG00000155530,1,0,1
ENSG00000205060,119,127,149
ENSG00000085662,47,39,39
ENSG00000198074,119,93,11
ENSG00000227471,35,38,14
ENSG00000172331,10,12,10
ENSG00000122786,1651,1350,804
ENSG00000146856,6,6,34
ENSG00000122783,82,69,67
ENSG00000146859,193,138,126
ENSG00000105875,71,74,67
ENSG00000146857,0,0,0
ENSG00000080802,81,68,29
ENSG00000155561,17,13,38
ENSG00000243317,212,170,222
ENSG00000164707,17,9,6
ENSG00000189320,5,16,0
ENSG00000105887,309,231,280
ENSG00000267697,45,34,14
ENSG00000181072,1,0,0
ENSG00000105894,1,2,0
ENSG00000157680,0,0,10
ENSG00000182158,167,157,751
ENSG00000122787,804,670,177
ENSG00000122779,108,97,254
ENSG00000157703,0,0,3
ENSG00000105929,0,0,0
ENSG00000214128,19,12,18
ENSG00000122778,19,16,27
ENSG00000146858,5,6,0
ENSG00000105939,192,160,159
ENSG00000105948,7,10,19
ENSG00000157741,143,120,188
ENSG00000164898,204,175,147
ENSG00000146963,259,238,182
ENSG00000269955,224,191,121
ENSG00000188883,0,0,0
ENSG00000236279,0,0,1
ENSG00000064393,458,359,181
ENSG00000059377,65,61,13
ENSG00000059378,67,63,156
ENSG00000006459,55,38,30
ENSG00000157800,52,38,56
ENSG00000146955,0,0,0
ENSG00000133606,144,143,90
ENSG00000146966,38,37,42
ENSG00000133597,56,49,39
ENSG00000090266,1062,919,652
ENSG00000157764,68,47,93
ENSG00000090263,220,183,178
ENSG00000261115,0,2,0
ENSG00000006530,32,22,28
ENSG00000257093,139,105,120
ENSG00000214102,0,0,0
ENSG00000106028,303,237,300
ENSG00000127364,8,7,8
ENSG00000127366,0,0,6
ENSG00000165076,0,0,0
ENSG00000257335,0,0,23
ENSG00000258227,0,0,4
ENSG00000257743,0,0,52
ENSG00000270672,734,830,208
ENSG00000275896,0,0,0
ENSG00000204983,1,1,0
ENSG00000106123,19,20,0
ENSG00000165125,10,11,0
ENSG00000127412,0,0,0
ENSG00000197993,0,0,0
ENSG00000159763,0,0,0
ENSG00000221937,0,0,0
ENSG00000197448,1930,1556,549
ENSG00000178826,72,64,48
ENSG00000106144,31,34,69
ENSG00000188037,1,1,1
ENSG00000159784,0,0,3
ENSG00000159840,359,293,964
ENSG00000146904,192,164,288
ENSG00000271079,6,4,3
ENSG00000170379,55,34,58
ENSG00000271321,1,2,3
ENSG00000198420,193,163,279
ENSG00000221813,0,0,0
ENSG00000221933,0,0,0
ENSG00000221858,0,0,0
ENSG00000221989,0,0,0
ENSG00000221938,0,0,0
ENSG00000225932,3,2,9
ENSG00000213214,33,28,20
ENSG00000212807,0,0,0
ENSG00000243896,12,9,33
ENSG00000244693,3,1,15
ENSG00000221970,0,0,0
ENSG00000050327,113,95,123
ENSG00000196511,14,10,15
ENSG00000174469,68,76,259
ENSG00000055130,178,127,116
ENSG00000106462,8,6,17
ENSG00000155660,935,760,1011
ENSG00000197362,4,3,12
ENSG00000204947,9,9,2
ENSG00000197024,49,30,26
ENSG00000170265,50,25,111
ENSG00000170260,10,8,50
ENSG00000204946,30,30,41
ENSG00000196453,5,9,11
ENSG00000181220,47,28,67
ENSG00000133619,0,0,35
ENSG00000181444,10,7,72
ENSG00000197558,14,23,63
ENSG00000106479,77,69,47
ENSG00000171130,711,572,95
ENSG00000106526,78,78,38
ENSG00000127399,84,75,272
ENSG00000188707,15,12,67
ENSG00000106538,6947,5550,5806
ENSG00000214022,330,290,224
ENSG00000196456,18,12,11
ENSG00000171115,37,26,10
ENSG00000179144,45,47,33
ENSG00000133574,39,32,16
ENSG00000133561,11,3,3
ENSG00000106560,20,23,15
ENSG00000281887,87,69,79
ENSG00000213203,65,45,17
ENSG00000196329,84,72,85
ENSG00000106565,9308,7415,5377
ENSG00000002933,6634,5532,5797
ENSG00000002726,99,82,1
ENSG00000055118,0,0,0
ENSG00000164867,31,28,5
ENSG00000181652,15,11,3
ENSG00000197150,160,137,130
ENSG00000213199,1,0,37
ENSG00000164885,73,46,27
ENSG00000164889,237,190,313
ENSG00000164896,434,348,249
ENSG00000164897,383,276,284
ENSG00000133612,133,116,56
ENSG00000146926,0,0,0
ENSG00000033050,105,90,38
ENSG00000033100,52,42,69
ENSG00000082014,10,6,26
ENSG00000013374,101,111,160
ENSG00000187260,3,5,66
ENSG00000127377,0,0,0
ENSG00000106615,244,229,211
ENSG00000106617,433,381,18
ENSG00000106648,4,8,1
ENSG00000178234,112,89,120
ENSG00000055609,411,321,407
ENSG00000196584,21,26,47
ENSG00000133627,50,55,49
ENSG00000130226,2,3,0
ENSG00000157212,56,38,33
ENSG00000157219,0,0,0
ENSG00000186480,10109,8515,1220
ENSG00000204960,0,0,2
ENSG00000164778,0,0,0
ENSG00000184863,196,170,171
ENSG00000164690,81,64,60
ENSG00000105982,5,2,0
ENSG00000105983,117,109,253
ENSG00000146909,61,41,12
ENSG00000130675,0,0,0
ENSG00000009335,126,85,110
ENSG00000105993,141,144,137
ENSG00000155093,13,8,0
ENSG00000146918,0,1,10
ENSG00000117868,100,75,56
ENSG00000126870,63,51,85
ENSG00000106018,8,11,7
ENSG00000182378,77,57,245
ENSG00000178605,235,167,288
ENSG00000167393,28,21,108
ENSG00000185960,43,104,34
ENSG00000205755,0,5,5
ENSG00000198223,42,32,44
ENSG00000185291,7,10,14
ENSG00000169100,482,417,1040
ENSG00000169093,179,124,269
ENSG00000182162,5,5,4
ENSG00000197976,54,36,77
ENSG00000196433,0,0,0
ENSG00000169084,218,176,303
ENSG00000214717,192,191,208
ENSG00000002586,673,585,1035
ENSG00000124343,4,6,1
ENSG00000056998,91,71,43
ENSG00000006756,476,351,319
ENSG00000157399,434,347,1022
ENSG00000062096,2,2,1
ENSG00000101825,60,33,0
ENSG00000183943,58,52,36
ENSG00000146938,1,0,69
ENSG00000169059,0,0,8
ENSG00000130021,77,59,159
ENSG00000101846,44,37,52
ENSG00000182583,0,0,11
ENSG00000006757,57,49,101
ENSG00000177504,0,0,2
ENSG00000205642,0,0,12
ENSG00000011201,5,2,20
ENSG00000183304,0,0,0
ENSG00000177138,12,9,5
ENSG00000101849,191,168,106
ENSG00000101850,16,13,39
ENSG00000146950,22,23,73
ENSG00000047644,44,31,25
ENSG00000073464,5,9,21
ENSG00000101871,34,38,64
ENSG00000004961,32,29,81
ENSG00000047648,1,2,0
ENSG00000005302,49,37,98
ENSG00000101911,60,43,43
ENSG00000196664,10,11,19
ENSG00000101916,4,3,5
ENSG00000205542,3512,2861,2581
ENSG00000187268,14,12,8
ENSG00000198759,0,0,0
ENSG00000176896,36,27,9
ENSG00000123595,30,37,21
ENSG00000196459,77,61,116
ENSG00000046651,110,101,80
ENSG00000046653,5,3,2
ENSG00000046647,61,62,22
ENSG00000101958,5,3,0
ENSG00000181544,0,0,0
ENSG00000130150,81,86,39
ENSG00000102048,13,14,50
ENSG00000165192,13,15,10
ENSG00000165195,11,18,4
ENSG00000165197,1,0,4
ENSG00000087842,102,88,25
ENSG00000102010,0,0,0
ENSG00000130234,42,28,0
ENSG00000147003,200,164,0
ENSG00000169239,38,26,53
ENSG00000169249,26,27,79
ENSG00000182287,67,46,23
ENSG00000126010,1,0,0
ENSG00000182798,0,0,0
ENSG00000047230,88,81,75
ENSG00000169895,509,438,240
ENSG00000086712,20,17,57
ENSG00000102054,112,94,163
ENSG00000169891,83,74,34
ENSG00000188158,0,0,0
ENSG00000047634,190,158,165
ENSG00000131831,0,2,0
ENSG00000177324,11,14,9
ENSG00000102098,19,13,41
ENSG00000008086,120,104,152
ENSG00000102104,0,0,1
ENSG00000086717,0,0,0
ENSG00000044446,349,266,511
ENSG00000173698,17,14,22
ENSG00000131828,501,441,267
ENSG00000180815,73,85,68
ENSG00000147010,135,121,26
ENSG00000173681,39,33,38
ENSG00000184368,0,0,0
ENSG00000173674,419,389,718
ENSG00000177189,291,225,331
ENSG00000149970,1,3,10
ENSG00000185915,0,4,0
ENSG00000091482,0,0,10
ENSG00000012174,108,115,101
ENSG00000230797,26,35,44
ENSG00000102172,86,81,76
ENSG00000102174,0,0,0
ENSG00000184735,0,0,2
ENSG00000165186,32,29,21
ENSG00000123131,976,879,642
ENSG00000123130,76,65,76
ENSG00000130066,3193,2569,1141
ENSG00000184831,106,75,50
ENSG00000165182,3,2,0
ENSG00000174010,35,32,12
ENSG00000130741,261,240,367
ENSG00000005889,50,34,173
ENSG00000067992,5,4,9
ENSG00000102230,17,23,6
ENSG00000101868,14,16,23
ENSG00000004848,0,0,0
ENSG00000176746,0,0,0
ENSG00000188408,0,0,0
ENSG00000189186,0,1,0
ENSG00000177689,2,5,6
ENSG00000226372,0,0,0
ENSG00000169306,0,2,16
ENSG00000099399,0,0,0
ENSG00000198798,0,0,0
ENSG00000214107,0,0,0
ENSG00000169297,0,0,0
ENSG00000120280,3,1,3
ENSG00000198814,179,145,135
ENSG00000157625,138,114,263
ENSG00000132446,0,0,0
ENSG00000198947,416,330,156
ENSG00000147027,91,68,0
ENSG00000189023,0,0,2
ENSG00000165164,0,0,2
ENSG00000130962,59,36,20
ENSG00000250349,16,8,36
ENSG00000147036,9,10,8
ENSG00000047597,3,1,0
ENSG00000165168,84,78,101
ENSG00000165169,85,84,112
ENSG00000147041,7,4,1
ENSG00000101955,29,32,0
ENSG00000156313,7,9,41
ENSG00000036473,652,566,96
ENSG00000156298,72,66,122
ENSG00000165175,31,19,95
ENSG00000183337,178,175,100
ENSG00000182220,270,235,199
ENSG00000185753,61,53,118
ENSG00000180182,88,73,44
ENSG00000124486,594,494,728
ENSG00000215301,344,308,481
ENSG00000188937,1,0,2
ENSG00000147044,39,46,64
ENSG00000171659,1,2,6
ENSG00000171657,74,64,110
ENSG00000189221,503,398,61
ENSG00000069535,955,875,151
ENSG00000124479,0,0,0
ENSG00000183690,0,0,0
ENSG00000069509,30,23,21
ENSG00000147050,10,11,92
ENSG00000147113,39,30,13
ENSG00000147121,40,30,20
ENSG00000251192,74,70,43
ENSG00000147119,68,49,3
ENSG00000065923,88,73,42
ENSG00000102218,22,24,28
ENSG00000102221,21,25,41
ENSG00000130988,1264,1048,422
ENSG00000147123,871,715,1050
ENSG00000182872,119,91,94
ENSG00000130985,561,466,722
ENSG00000102225,125,135,168
ENSG00000102226,55,43,239
ENSG00000147117,9,8,6
ENSG00000147124,15,11,18
ENSG00000078061,212,192,297
ENSG00000008056,12,5,8
ENSG00000102265,746,551,2094
ENSG00000126759,105,101,6
ENSG00000126767,69,72,28
ENSG00000126756,330,287,309
ENSG00000197779,42,31,13
ENSG00000147118,4,5,6
ENSG00000221994,3,4,4
ENSG00000165583,1,0,0
ENSG00000126752,0,0,7
ENSG00000165584,0,0,0
ENSG00000268009,1,0,0
ENSG00000269791,0,0,0
ENSG00000017483,0,0,1
ENSG00000068438,40,22,33
ENSG00000102312,7,3,5
ENSG00000147155,2561,2069,925
ENSG00000068354,65,62,36
ENSG00000102317,142,130,392
ENSG00000101940,548,424,425
ENSG00000015285,10,12,10
ENSG00000101945,28,15,33
ENSG00000171433,12,4,0
ENSG00000094631,530,409,278
ENSG00000102109,0,1,132
ENSG00000126768,225,168,329
ENSG00000102103,142,104,141
ENSG00000102100,92,81,55
ENSG00000102096,85,63,133
ENSG00000068308,92,85,165
ENSG00000102057,0,0,2
ENSG00000068400,168,149,168
ENSG00000068323,120,108,151
ENSG00000147144,22,15,73
ENSG00000243279,28,20,43
ENSG00000196998,254,212,116
ENSG00000068394,52,57,70
ENSG00000269313,51,27,101
ENSG00000102007,27,18,187
ENSG00000012211,6,7,8
ENSG00000102003,10,10,21
ENSG00000102001,0,1,0
ENSG00000101997,99,60,40
ENSG00000049768,69,51,17
ENSG00000049769,19,17,1
ENSG00000215274,2,1,1
ENSG00000224659,5,6,1
ENSG00000274274,6,4,4
ENSG00000275113,1,1,0
ENSG00000236737,0,0,0
ENSG00000237671,6,3,0
ENSG00000227488,2,2,2
ENSG00000216649,3,1,1
ENSG00000236362,5,4,0
ENSG00000215269,3,0,0
ENSG00000224902,6,1,3
ENSG00000205777,6,1,2
ENSG00000189064,6,2,1
ENSG00000068985,0,0,56
ENSG00000101951,0,0,0
ENSG00000273820,0,1,29
ENSG00000171365,233,183,138
ENSG00000147082,0,0,16
ENSG00000158352,12,10,4
ENSG00000122824,0,0,0
ENSG00000187690,0,0,0
ENSG00000196368,0,1,0
ENSG00000189369,30,19,69
ENSG00000179222,462,380,416
ENSG00000187243,1,8,5
ENSG00000154545,8,6,12
ENSG00000155622,0,0,0
ENSG00000204379,4,6,204
ENSG00000204382,2,4,214
ENSG00000187754,1,0,0
ENSG00000241476,0,0,3
ENSG00000268447,1,1,1
ENSG00000171405,4,1,2
ENSG00000171402,1,1,0
ENSG00000179304,40,37,19
ENSG00000268350,49,44,34
ENSG00000184194,6,7,9
ENSG00000184205,23,19,42
ENSG00000126012,85,80,138
ENSG00000124313,7,7,0
ENSG00000072501,154,124,206
ENSG00000158423,2,2,0
ENSG00000072506,1061,868,243
ENSG00000086758,659,597,785
ENSG00000172943,82,66,47
ENSG00000184083,50,39,105
ENSG00000196632,115,94,146
ENSG00000158526,178,126,41
ENSG00000102302,17,16,117
ENSG00000130119,13,10,10
ENSG00000102313,0,0,1
ENSG00000102316,215,145,388
ENSG00000067445,39,25,1
ENSG00000158571,248,205,87
ENSG00000169188,88,72,26
ENSG00000158578,2,2,0
ENSG00000238269,0,0,86
ENSG00000234068,1,0,160
ENSG00000158639,1,0,187
ENSG00000182518,47,43,48
ENSG00000256045,3172,2913,1000
ENSG00000187601,41,41,27
ENSG00000247746,41,27,6
ENSG00000189299,0,0,0
ENSG00000083750,17,11,12
ENSG00000102349,21,9,21
ENSG00000188021,64,69,204
ENSG00000204271,23,14,3
ENSG00000186787,21,28,17
ENSG00000147059,68,45,26
ENSG00000165591,161,182,13
ENSG00000198455,86,66,250
ENSG00000198205,20,19,13
ENSG00000186767,15,9,20
ENSG00000131089,71,62,30
ENSG00000184675,11,10,37
ENSG00000198881,0,0,0
ENSG00000102043,0,1,0
ENSG00000126970,16,15,53
ENSG00000102053,42,27,24
ENSG00000001497,93,89,100
ENSG00000147065,290,244,109
ENSG00000155659,131,88,26
ENSG00000089472,2,2,0
ENSG00000131080,1,3,8
ENSG00000169083,900,763,227
ENSG00000079482,402,367,521
ENSG00000181704,348,302,206
ENSG00000130052,42,39,27
ENSG00000090776,37,21,20
ENSG00000181191,29,16,24
ENSG00000130054,0,0,0
ENSG00000158813,3,2,2
ENSG00000189401,2,3,8
ENSG00000089289,50,36,169
ENSG00000184210,0,0,0
ENSG00000186912,0,0,0
ENSG00000120500,0,0,0
ENSG00000147127,0,0,0
ENSG00000120509,66,58,94
ENSG00000090889,0,0,13
ENSG00000130055,2,3,3
ENSG00000082458,2,3,3
ENSG00000120498,5,2,0
ENSG00000165349,0,0,0
ENSG00000147164,59,58,62
ENSG00000184481,9,8,0
ENSG00000204165,0,0,2
ENSG00000147168,20,19,496
ENSG00000184634,88,53,190
ENSG00000196338,0,0,3
ENSG00000169562,1736,1450,1143
ENSG00000147130,125,98,261
ENSG00000147140,464,412,953
ENSG00000147166,18,12,0
ENSG00000147133,108,82,59
ENSG00000147162,241,200,174
ENSG00000147174,11,9,22
ENSG00000186810,0,0,14
ENSG00000215113,0,0,1
ENSG00000204131,41,45,19
ENSG00000242732,3,2,11
ENSG00000102309,225,204,136
ENSG00000186871,0,0,0
ENSG00000198034,1167,975,2925
ENSG00000125931,0,0,0
ENSG00000147099,141,102,104
ENSG00000067177,6,8,8
ENSG00000184911,0,0,0
ENSG00000269502,0,0,0
ENSG00000186288,0,0,0
ENSG00000204118,9,10,5
ENSG00000186462,5,1,1
ENSG00000204116,0,1,28
ENSG00000147100,391,331,194
ENSG00000131263,87,95,116
ENSG00000050030,1,2,0
ENSG00000131269,72,69,85
ENSG00000094841,26,31,5
ENSG00000102383,11,12,16
ENSG00000102390,58,45,28
ENSG00000198934,5,4,5
ENSG00000085224,347,321,422
ENSG00000102158,427,386,459
ENSG00000131174,1118,1027,1119
ENSG00000165240,5,4,7
ENSG00000226784,41,35,12
ENSG00000102144,814,745,687
ENSG00000187325,76,68,56
ENSG00000173198,264,229,193
ENSG00000147145,0,4,0
ENSG00000078589,1,0,3
ENSG00000147138,1,0,6
ENSG00000078596,9,9,46
ENSG00000174016,0,0,0
ENSG00000165288,35,30,30
ENSG00000198157,42,48,2
ENSG00000131171,88,75,28
ENSG00000072133,13,10,10
ENSG00000165259,12,7,0
ENSG00000155008,112,100,136
ENSG00000184788,4,7,19
ENSG00000147180,0,0,0
ENSG00000124429,5,2,1
ENSG00000188419,107,90,138
ENSG00000126733,0,0,4
ENSG00000102271,3,1,0
ENSG00000153779,0,0,0
ENSG00000174740,0,0,0
ENSG00000102290,26,12,23
ENSG00000186310,0,0,0
ENSG00000179083,0,0,0
ENSG00000147202,148,134,108
ENSG00000204086,7,12,17
ENSG00000165194,2,1,0
ENSG00000000005,0,0,0
ENSG00000000003,420,403,439
ENSG00000102359,17,14,8
ENSG00000102362,62,54,16
ENSG00000101811,1,1,12
ENSG00000007952,0,0,1
ENSG00000182489,0,0,26
ENSG00000174225,0,2,1
ENSG00000188917,28,25,18
ENSG00000126950,0,0,0
ENSG00000102384,6,1,6
ENSG00000102385,0,0,4
ENSG00000102387,1,1,0
ENSG00000126953,65,60,32
ENSG00000010671,35,40,10
ENSG00000241343,451,343,687
ENSG00000257529,429,311,633
ENSG00000102393,97,82,42
ENSG00000126945,212,179,185
ENSG00000196440,48,41,26
ENSG00000126947,0,0,1
ENSG00000198960,8,7,23
ENSG00000102401,58,57,132
ENSG00000184867,1,0,0
ENSG00000126952,0,0,0
ENSG00000166432,161,111,92
ENSG00000184905,3,3,2
ENSG00000204071,1,2,3
ENSG00000184515,1,1,0
ENSG00000269405,0,0,0
ENSG00000269437,0,0,0
ENSG00000215029,0,0,0
ENSG00000158164,0,0,0
ENSG00000125962,18,17,9
ENSG00000198932,4,2,17
ENSG00000158301,28,17,3
ENSG00000198908,19,7,7
ENSG00000102128,4,1,0
ENSG00000133169,3,2,4
ENSG00000147206,29,15,0
ENSG00000102409,15,14,241
ENSG00000180964,45,31,304
ENSG00000204065,0,0,0
ENSG00000133134,2,6,395
ENSG00000182916,0,0,23
ENSG00000185222,51,50,264
ENSG00000166681,429,353,792
ENSG00000172476,6,2,0
ENSG00000133142,274,192,373
ENSG00000196507,17,26,28
ENSG00000172465,33,36,30
ENSG00000123562,346,293,334
ENSG00000179363,0,0,0
ENSG00000123560,0,0,0
ENSG00000123570,0,0,0
ENSG00000158427,4,7,1
ENSG00000123569,0,0,0
ENSG00000101812,0,0,1
ENSG00000269226,11,8,11
ENSG00000269743,26,19,24
ENSG00000166707,0,0,0
ENSG00000123575,57,41,98
ENSG00000189108,8,6,1
ENSG00000123572,3,0,0
ENSG00000123561,926,768,1557
ENSG00000157502,1,0,0
ENSG00000147231,28,27,13
ENSG00000133135,782,673,382
ENSG00000133138,475,422,398
ENSG00000133131,368,302,423
ENSG00000147223,47,34,6
ENSG00000165376,246,210,77
ENSG00000089682,100,113,99
ENSG00000198088,0,0,2
ENSG00000080572,2,1,5
ENSG00000147234,3,7,7
ENSG00000147224,125,94,20
ENSG00000157514,836,703,59
ENSG00000080561,8,15,43
ENSG00000101842,17,10,25
ENSG00000101843,201,186,220
ENSG00000101844,60,55,20
ENSG00000197565,0,0,0
ENSG00000188153,2,0,2
ENSG00000101888,17,11,7
ENSG00000176076,1,0,0
ENSG00000068366,66,64,1830
ENSG00000157600,11,7,62
ENSG00000101935,54,37,8
ENSG00000243978,0,0,23
ENSG00000101938,5,2,5
ENSG00000077264,13,12,17
ENSG00000077274,0,0,0
ENSG00000077279,9,10,5
ENSG00000101901,131,112,107
ENSG00000072315,4,3,0
ENSG00000187823,0,0,0
ENSG00000182508,0,0,0
ENSG00000126016,17,23,14
ENSG00000147246,0,0,0
ENSG00000123496,2,1,0
ENSG00000130224,0,0,0
ENSG00000102021,0,0,8
ENSG00000102024,457,420,241
ENSG00000268104,4,6,2
ENSG00000204019,0,0,0
ENSG00000003096,3,4,16
ENSG00000131725,70,44,18
ENSG00000147251,14,10,2
ENSG00000131724,525,420,269
ENSG00000174460,0,0,0
ENSG00000175556,47,40,5
ENSG00000250423,6,8,11
ENSG00000101856,2171,1942,1238
ENSG00000077713,11,5,36
ENSG00000005022,1048,916,365
ENSG00000018610,87,74,22
ENSG00000077721,84,78,113
ENSG00000186416,14,11,5
ENSG00000125354,180,164,278
ENSG00000187808,0,0,0
ENSG00000198918,1243,1138,2026
ENSG00000125351,45,33,49
ENSG00000125352,37,21,18
ENSG00000125356,939,801,827
ENSG00000186471,1,1,7
ENSG00000101882,127,99,201
ENSG00000203989,0,0,25
ENSG00000101883,2,1,17
ENSG00000131721,2,0,25
ENSG00000177485,23,30,160
ENSG00000125355,0,0,0
ENSG00000101892,11,7,6
ENSG00000005893,787,683,324
ENSG00000158290,82,59,122
ENSG00000232119,274,218,177
ENSG00000171155,60,47,92
ENSG00000236446,0,0,0
ENSG00000230347,0,0,1
ENSG00000278646,0,0,1
